Job Title,Company Name,Rating,Experience,Location,Minimum Requirements,Tech Stack,Job description
Software Developer,Shreecom Info Tech,4.6,0-3 Yrs,Pune,. Bachelors degree in Information Technology or related field . 2 years of overall IT e...,,"This position is responsible for integrating applications through web applications. This position will also work closely with all internal departments (operations, marketing, customer service and technical experts) to ensure that enterprise integrations are working as expected. Responsibilities Sound Knowledge of C#dot net, ASPdot net, VBdot net Knowledge of MSSQL Server queries Sound Knowledge of JavaScript, Ajax, Angular 6 JS, Native Script Programming concepts and the Software Development Lifecycle (SDLC). Maintaining knowledge of the principles and practices of software development best practices. Trouble shooting Web service communication issues across integrated systems or on Ecommerce web sites. Following all required software development standards, change control procedures, and security requirements within the company. Assisting in the formulation of business and testing requirements. Qualifications Bachelor's degree in Information Technology or related field 2 years of overall IT experience working with dot net C# development framework creating Web applications Working knowledge of Javascript frameworks are a plus Experience in integrating any payment gateway to web sites a plus Excellent verbal and written communication skills. Min. 1 year experiance with Application Development including Android Application development. Ability to multitask and troubleshoot issues quickly."
Software developer power platform,Hitachi Energy,4.1,0-11 Yrs,Chennai,. To Connect with business to gather requirement and set priorities for development. Co...,,"Business Information: The Hitachi Energy Indian Operations Center (INOPC) is a competence center with around 2600+ skilled engineers who focus on tendering,  engineering,  planning,  procurement,  project Management,  functional system testing,  installation supervision,  documentation and commissioning. Missio n Sta t emen t To software development using Power Apps,  power automate & SharePoint as per j ob d e scripti o n. Your responsibilities: To develop Applications with Microsoft power Apps,  Power Automate using SharePoint / Dataverse as backend. To Connect with business to gather requirement and set priorities for development Connect with subject matter experts to understand the business processes Organize the change requests in a structured manner with excellent traceability Convert the business requirements into process flow chart Shall work independently in developing Power App Applications. To conduct periodic design review meetings to ensure the development is progressing as per agreed timeline. Follow up with business to ensure required inputs are received on time. Support business users during user acceptance test and ensure. Undertake change requests. Your background: 5+years of experience. Should have worked on SQL ,  Power Bi,  Power Apps and Power Automate. Added advantage: Exposure in using Artificial intelligence in data processing Should have executed at least 5 projects using Power Apps and Power Automate platform in lead role. Should have expertise in Canvas apps and model driven apps. Expertise in creating complex Power automate flows. Experience in direct interaction with business to gather inputs and convert requirements into user stories. Qualified individuals with a disability may request a reasonable accommodation if you are unable or limited in your ability to use or access the Hitachi Energy career site as a result of your disability.  You may request reasonable accommodations by completing a  general inquiry form  on our website.  Please include your contact information and specific details about your required accommodation to support you during the job application process. ."
Software Developer,Proerror Software Solutions,4.9,0-3 Yrs,Pune,  We are looking for a young dynamic and enthusiastic member with fire within to work a...,,"We are looking for a young dynamic and enthusiastic member with fire within to work and grow along with the organization who will act as a core member of our ever-expanding Development team and you will report to the Director. Your area of business will be Development. Technical skills Knowledge of programming language like Node Js, Dot Net ,Java, PHP, etc Logical and structured thinking Solving problems skills Coding and development work as per decided timelines Coding as per internal process and standards Soft skills"
Software Developer,Hitachi Energy,4.1,0-11 Yrs,Chennai,Hands-on experience in c# windows and web application and proficient in scripting langu...,,"About the business: The Hitachi Energy Indian Operations Center (INOPC) is a competence center with around 2600+ skilled engineers who focus on tendering,  engineering,  planning,  procurement,  project Management,  functional system testing,  installation supervision,  documentation and commissioning. Mission statement: Software Development Engineering (High Tech) focus on developing multiple types/categories of software including end-user applications and operating systems/utility software,  that provides a platform for running end user applications for sale to external customers.  The work includes Conducting requirements gathering and analysis to understand the domain of the software problem and/or functionality,  the interfaces between hardware and software,  and the overall software characteristics.  Using programming,  scripting,  and/or database languages to write the software code.  Supporting software testing,  deployment,  maintenance,  and evolution activities by correcting programming errors,  responding to scope changes,  and coding software enhancements.  Applying knowledge of software development best practices,  including coding standards,  code reviews,  source control management,  build processes,  testing,  and operations An Entry Professional (P1) applies broad theoretical job knowledge typically obtained through advanced education.  May require the following proficiency: Work is closely supervised.  Problems faced are not typically difficult or complex.  Explains facts,  policies and practices related to job area. Your responsibility: Hands-on experience in c# windows and web application and proficient in scripting languages and dashboards. Contributing to software architecture definition. Detailed design based on OOAD and patterns. Creating Implementation proposals & design documents. Full life cycle SDLC. Hands on coding and debugging ability. Interactions with global teams (product management,  multisite development teams). Investigate new technologies. Understand systems engineering,  interface points and software quality factors. Self-motivated,  willingness to take up and lead new challenges,  excellent English verbal and written communication skills Living Hitachi Energy s core values of safety and integrity,  which means taking responsibility for your own actions while caring for your colleagues and the business. Your background: Bachelors degree with 3+yrs of experience (Any Product Configurator) . Proficiency in English. Good Experience in Microsoft technologies Expert in OOPs concepts. Good working experience in C#,  MS SQL Server,  JSON,  React,  Angular and DOTNET 3. 5/4. 0 frameworks onwards. SDLC and CM processes and artifacts familiarity Good skill in Creating User Interface Strong Technical skills in in Database concepts,  design Database,  creating store procedure/triggers/views. Strong Design / UML / Tools skills Knowledge of Substation Automation Experience of working in a Scrum (or any other Agile) delivery model. Qualified individuals with a disability may request a reasonable accommodation if you are unable or limited in your ability to use or access the Hitachi Energy career site as a result of your disability.  You may request reasonable accommodations by completing a  general inquiry form  on our website.  Please include your contact information and specific details about your required accommodation to support you during the job application process. ."
Software Developer,Barclays,3.9,0-6 Yrs,Pune,"In depth experience with PaaS and Cloud Platforms such as OpenShift, AWS or equivalents...",,"Join us as Cloud & DevOps Specialist at Barclays,  where youll spearhead the evolution of our digital landscape driving innovation and excellence.  Youll harness cutting-edge technology to revolutionise our digital offerings,  ensuring unparalleled customer experiences. To be successful as a Cloud & DevOps Specialist you should have experience with: A firm understanding of DevOps/CICD with hands-on experience with DevOps tools such as Jenkins,  Bitbucket,  Gitlab CI,  Gradle,  Maven and their equivalents. In depth experience with PaaS and Cloud Platforms such as OpenShift,  AWS or equivalents with Infrastructure as Code experience. A software engineering background that includes experience with coding/scripting with BASH,  groovy,  python,  java script,  go lang or equivalents. Hands on experience on messaging tools like Kafka including setup,  configuration & monitoring. Strong knowledge of ORACLE,  PL/SQL Database. Proficient in Groovy,  Git,  Linux,  CI/CD,  Kubernetes,  Ansible,  Docker,  Jenkins,  Shell Scripting,  OpenShift,  Kafka & Zookeeper,  Nexus,  Bitbucket and Networking. Hands on experience in implementing and managing cloud infrastructure and services,  with a strong focus on Linux-based systems and core DevOps concepts such as containerization,  version control,  continuous integration,  and continuous monitoring. You may be assessed on key critical skills relevant for success in role,  such as risk and controls,  change and transformation,  business acumen,  strategic thinking and digital and technology,  as well as job-specific technical skills. This role is based out of Pune. Barclays is required by law to confirm that you have the Legal Right to Work in any role that you apply for.  If you currently hold a work visa sponsored by Barclays,  or you would require sponsorship from Barclays,  you must declare this as part of your application.  Sponsored visas are role and entity specific and any changes must be reviewed.  It is important that you ensure you are working on the correct visa at all times.  Failure to accurately disclose your visa status or Legal Right to Work may result in your application or any employment offer being withdrawn at any time. Purpose of the role To design,  develop and improve software,  utilising various engineering methodologies,  that provides business,  platform,  and technology capabilities for our customers and colleagues. Accountabilities Development and delivery of high-quality software solutions by using industry aligned programming languages,  frameworks,  and tools.  Ensuring that code is scalable,  maintainable,  and optimized for performance. Cross-functional collaboration with product managers,  designers,  and other engineers to define software requirements,  devise solution strategies,  and ensure seamless integration and alignment with business objectives. Collaboration with peers,  participate in code reviews,  and promote a culture of code quality and knowledge sharing. Stay informed of industry technology trends and innovations and actively contribute to the organization s technology communities to foster a culture of technical excellence and growth. Adherence to secure coding practices to mitigate vulnerabilities,  protect sensitive data,  and ensure secure software solutions. Implementation of effective unit testing practices to ensure proper code design,  readability,  and reliability. Analyst Expectations Will have an impact on the work of related teams within the area. Partner with other functions and business areas. Takes responsibility for end results of a team s operational processing and activities. Escalate breaches of policies / procedure appropriately. Take responsibility for embedding new policies/ procedures adopted due to risk mitigation. Advise and influence decision making within own area of expertise. Take ownership for managing risk and strengthening controls in relation to the work you own or contribute to.  Deliver your work and areas of responsibility in line with relevant rules,  regulation and codes of conduct. Maintain and continually build an understanding of how own sub-function integrates with function,  alongside knowledge of the organisations products,  services and processes within the function. Demonstrate understanding of how areas coordinate and contribute to the achievement of the objectives of the organisation sub-function. Make evaluative judgements based on the analysis of factual information,  paying attention to detail. Resolve problems by identifying and selecting solutions through the application of acquired technical experience and will be guided by precedents. Guide and persuade team members and communicate complex / sensitive information. Act as contact point for stakeholders outside of the immediate function,  while building a network of contacts outside team and external to the organisation."
"Software Developer / Automation Specialist
",RRB Advisory Services,4.4,2-4 Yrs,Remote,"The ideal candidate should have a background and expertise in programming, software dev...",,"The ideal candidate should have a background and expertise in   programming, software development, and writing codes. The candidate should have knowledge of   no-code applications like Zapier and similar tools. Should be able to ideate   the automation opportunities with the team by going through the processes   & suggest the best course of action. The candidate should have an   analytical mindset to understand the automation and application development  needs for different operational processes and suggest the appropriate   solutions. He/She should be hard working and creative to come up with   original ideas and will be involved in full lifecycle software development   and operational support. We are an accounting company passionate about   technology. The proposed automations can be a combination of excel VBA,   third-party apps or internal cloud-based applications. Preference will be given to applicants with strong background in   accounting/finance and exposure to applications like Xero, QuickBooks,   ZohoBooks, etc. Will be expected to create automation and data feed for these   apps with other industry specific apps (say Shopify, Amazon FBA, Stripe etc.)   if a native integration is not available Excellent communication Attention to detail and organizational skills Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS,   JavaScript, XML, jQuery) Knowledge of multiple back-end languages (e.g. C#, Java, Python) and   JavaScript frameworks (e.g. Angular, React, Node.js) Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g.   Apache) and UI/UX design Able to design the user experience, user interaction, responsive design,   and complete architecture Ensure cross-platform compatibility and fixing issues during test and  production phases"
Software Developer Specialist - AI/ML,Calypso Technology,3.8,3-7 Yrs,Bengaluru,"Batchelors / Masters or equivalent experience in Computer Science, Mathematics, or rela...",,"Nasdaq Technology is looking for a passionate Specialist - AI-ML Engineer with a focus on software development, to join the Bangalore technology center in India. If Innovation and effectiveness drive you forward this is the place for you! Nasdaq is continuously revolutionizing markets and undergoing transformations while we adopt new technologies to develop innovative solutions, constantly aiming to rewrite tomorrow. As a Specialist - AI/ML, you will play a key role in the delivery of complex technical systems of varying sizes to new and existing customers and will be part of discovering new technologies within the FinTech industry. We are now looking for a Specialist - AI/ML Engineer to strengthen the Corporate Access Platform s AI COE team in Bangalore. You will be responsible for driving the execution of initiatives across the Capital Access Platform s AI COE program to help various business operations and process simplification and introduce automation via Artificial Intelligence and drive efficiency and productivity. We are looking for candidates who share those values along with a genuine desire and drive to deliver top technology solutions to todays markets. With this position we offer Join the development organization for Capital Access Platform s AI COE team. The main objective for the development team in Bangalore is to build state of the art AI powered solutions to simplify operations & process across CAP products and drive productivity. As our new member, you will work with a group of enthusiastic and experienced team members. Together with your team, you will be accountable for delivering enhancements and supporting the architecture of the enterprise product as it transitions to new software paradigms. Your role and responsibilities: We are seeking specialist AI/ML Engineer with strong expertise in Generative AI to lead sophisticated artificial intelligence and machine learning initiatives. The ideal candidate will drive innovation in AI solutions while mentoring junior team members and collaborating with multi-functional teams. Equal opportunity in developing and implementing generative AI models We work with existing LLMs and fine-tune models under supervision We support model testing, validation, and quality assurance We help maintain AI model deployments and integrations, Debug and fix model issues We write clean, detailed code following team standards We Participate in data preparation and preprocessing tasks Furthermore, you will: Collaborate with multi-functional teams including traders and analysts Participate in research and development of new AI/ML methodologies Support model deployment and monitoring in production environments Stay ahead of with the latest developments in AI/ML and financial technology We expect you to have Batchelors/Masters or equivalent experience in Computer Science, Mathematics, or related field shown experience in AI/ML development Proficiency in programming languages such as Python Experience with machine learning frameworks (e.g., TensorFlow, PyTorch, Scikit-learn) Strong knowledge of SQL and NoSQL databases. Familiarity with cloud platforms (e.g., AWS, Azure, Google Cloud) and big data technologies (e.g., Hadoop, Spark). Knowledge of time series analysis and statistical modeling Experience with natural language processing (NLP) Familiarity with DevOps practices and tools for CI/CD Understanding of financial data sources and APIs Solid background in quantitative analysis Strong analytical and problem-solving skills! It would be great if you Have published research papers in AI/ML or quantitative finance Have contributed to open-source AI projects Have experience with real-time processing systems Are skilled in prompt engineering and LLM fine-tuning Does it sound like you? What happens now? As the selection process is ongoing, please submit your application in English as soon as possible. We will get back to you in 2-3 weeks. What will it be like working here? Nasdaq is a vibrant and entrepreneurial company where everyone is encouraged to take initiative, challenge status quo, and take intelligent risks. We want everyone to feel welcome and bring their authentic self to work. Every day, we are building a culture where we all feel connected, supported and empowered. We are a Hybrid-first environment that embraces work-life balance and fosters well-being. What do we offer you? Annual monetary bonus. An opportunity to become a Nasdaq shareholder Employee Stock Purchase Program Nasdaq stocks with a discount Health Insurance Program Flexible working schedule and hybrid way of work Flex day program (up to 6 paid days off a year) in addition to standard vacations and holidays Internal mentorship program - get a mentor or become one Wide selection of online learning resources, e.g., Udemy Come as you are Nasdaq is an equal opportunity employer. We positively encourage applications from suitably qualified and eligible candidates regardless of age, color, disability, national origin, ancestry, race, religion, gender, sexual orientation, gender identity and/or expression, veteran status, genetic information or any other status protected by applicable law. Nasdaq is a leading global provider of trading, clearing, exchange technology, listing, information, and public company services. As the creator of the worlds first electronic stock market, its technology powers more than 100 marketplaces in 50 countries. Nasdaq is home to over 4,000 total listings with a market value of approximately $12 trillion. To learn more, about our business visit business.nasdaq.com. Check out more about our Life at Nasdaq. Come as You Are Nasdaq is an equal opportunity employer. We positively encourage applications from suitably qualified and eligible candidates regardless of age, color, disability, national origin, ancestry, race, religion, gender, sexual orientation, gender identity and/or expression, veteran status, genetic information, or any other status protected by applicable law. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request an accommodation."
Software Developer Specialist - AI/ML,Nasdaq,3.8,7-10 Yrs,Bengaluru,"Batchelors / Masters or equivalent experience in Computer Science, Mathematics, or rela...",,"Nasdaq Technology is looking for a passionate Specialist - AI-ML Engineer with a focus on software development, to join the Bangalore technology center in India. If Innovation and effectiveness drive you forward this is the place for you! Nasdaq is continuously revolutionizing markets and undergoing transformations while we adopt new technologies to develop innovative solutions, constantly aiming to rewrite tomorrow. As a Specialist - AI/ML, you will play a key role in the delivery of complex technical systems of varying sizes to new and existing customers and will be part of discovering new technologies within the FinTech industry. We are now looking for a Specialist - AI/ML Engineer to strengthen the Corporate Access Platform s AI COE team in Bangalore. You will be responsible for driving the execution of initiatives across the Capital Access Platform s AI COE program to help various business operations and process simplification and introduce automation via Artificial Intelligence and drive efficiency and productivity. We are looking for candidates who share those values along with a genuine desire and drive to deliver top technology solutions to todays markets. With this position we offer Join the development organization for Capital Access Platform s AI COE team. The main objective for the development team in Bangalore is to build state of the art AI powered solutions to simplify operations & process across CAP products and drive productivity. As our new member, you will work with a group of enthusiastic and experienced team members. Together with your team, you will be accountable for delivering enhancements and supporting the architecture of the enterprise product as it transitions to new software paradigms. Your role and responsibilities: We are seeking specialist AI/ML Engineer with strong expertise in Generative AI to lead sophisticated artificial intelligence and machine learning initiatives. The ideal candidate will drive innovation in AI solutions while mentoring junior team members and collaborating with multi-functional teams. Equal opportunity in developing and implementing generative AI models We work with existing LLMs and fine-tune models under supervision We support model testing, validation, and quality assurance We help maintain AI model deployments and integrations, Debug and fix model issues We write clean, detailed code following team standards We Participate in data preparation and preprocessing tasks Furthermore, you will: Collaborate with multi-functional teams including traders and analysts Participate in research and development of new AI/ML methodologies Support model deployment and monitoring in production environments Stay ahead of with the latest developments in AI/ML and financial technology We expect you to have Batchelors/Masters or equivalent experience in Computer Science, Mathematics, or related field shown experience in AI/ML development Proficiency in programming languages such as Python Experience with machine learning frameworks (e.g., TensorFlow, PyTorch, Scikit-learn) Strong knowledge of SQL and NoSQL databases. Familiarity with cloud platforms (e.g., AWS, Azure, Google Cloud) and big data technologies (e.g., Hadoop, Spark). Knowledge of time series analysis and statistical modeling Experience with natural language processing (NLP) Familiarity with DevOps practices and tools for CI/CD Understanding of financial data sources and APIs Solid background in quantitative analysis Strong analytical and problem-solving skills! It would be great if you Have published research papers in AI/ML or quantitative finance Have contributed to open-source AI projects Have experience with real-time processing systems Are skilled in prompt engineering and LLM fine-tuning Does it sound like youWhat happens now As the selection process is ongoing, please submit your application in English as soon as possible. We will get back to you in 2-3 weeks. What will it be like working here Nasdaq is a vibrant and entrepreneurial company where everyone is encouraged to take initiative, challenge status quo, and take intelligent risks. We want everyone to feel welcome and bring their authentic self to work. Every day, we are building a culture where we all feel connected, supported and empowered. We are a Hybrid-first environment that embraces work-life balance and fosters well-being. What do we offer you Annual monetary bonus. An opportunity to become a Nasdaq shareholder Employee Stock Purchase Program Nasdaq stocks with a discount Health Insurance Program Flexible working schedule and hybrid way of work Flex day program (up to 6 paid days off a year) in addition to standard vacations and holidays Internal mentorship program - get a mentor or become one Wide selection of online learning resources, e.g., Udemy Come as you are Nasdaq is an equal opportunity employer. We positively encourage applications from suitably qualified and eligible candidates regardless of age, color, disability, national origin, ancestry, race, religion, gender, sexual orientation, gender identity and/or expression, veteran status, genetic information or any other status protected by applicable law. Nasdaq is a leading global provider of trading, clearing, exchange technology, listing, information, and public company services. As the creator of the worlds first electronic stock market, its technology powers more than 100 marketplaces in 50 countries. Nasdaq is home to over 4,000 total listings with a market value of approximately $12 trillion. To learn more, about our business visit business.nasdaq.com. Check out more about our Life at Nasdaq. Come as You Are Nasdaq is an equal opportunity employer. We positively encourage applications from suitably qualified and eligible candidates regardless of age, color, disability, national origin, ancestry, race, religion, gender, sexual orientation, gender identity and/or expression, veteran status, genetic information, or any other status protected by applicable law. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request an accommodation."
"Senior Software Developer (C#.net, SQL, ERP Software)",Index Infotech India,4,4-5 Yrs,Pune,"Able to work in US Shifts Experience in SQL DB Complex Queries (Triggers, Cursors and S...",,"Index InfoTech is a leading business transformation and ERP consulting company, headquartered in Dubai, UAE and offices across the globe. We implement the world s 5 th largest ERP Epicor and build niche enterprise tech-products for our customers helping them leverage SaaS and on-premises technologies for their business growth. Masters (MCA\MTech) or BE in CS \IT. 3-4 Years of Technical Experience from reputed IT organization is mandatory. Any ERP (Epicor, SAP, Office 365, Oracle NetSuite) Knowledge\Experience is mandatory. Experience in C# and SQL is mandatory. Understanding of Microsoft Visual Studio .NET IDE, C#.NET and SQL Server Experience in C# Dot Net Framework Applications development(Desktop and Web based Applications). Experience in SQL DB Complex Queries (Triggers, Cursors and Stored Procedure) with Application. Experience in SSRS and Crystal Reports for most relevant Financial and Supply chain management. Experience in Business Process Automation BI Reporting/Dashboards Requirements Desired Skills: Extremely good communication skills Able to work in US Shifts Ability to multi-task and perform effectively A solid foundation in computer science, with strong competencies in data structures, Object Oriented skills"
Software Developer - Java,Interface Infosoft,3.3,7-12 Yrs,"Nagpur, Roorkee","He holds Bachelor of Engineering from VNIT, Nagpur and Master of Technology from IIT, R...",,"Mandatory Skills: We have been working with Interface for last 7 years for development and support of Aquent On Demand products. The development team is nice to work with and hard working. They have been able to solve complex issues. In the past,  they have been successful in delivering on time."" Prashant Kadwe,  Director Software Development at Aquent Cloud Computing Cloud helps companies achieve cost benefits by providing high performance,  resource scalability and high availability. You only pay for the services you use: software,  platform or infrastructure. Cloud computing allows process and storage intensive tasks which were hitherto impossible. Challenges How can we migrate our business applications to the cloud What are the ways to integrate cloud applications with on- premise applications How do we reduce our cloud expenditure without affecting the performance How do we design a cloud application to scale up or scale down in real- time How can we ensure that our data and communications in the cloud are safe and protected How can we develop a cloud application that does not lock us to a specific cloud service provider What are the ways to meet governmental and internal regulatory compliances for cloud applications Our Services Migrate on- premise applications to cloud Design new SaaS applications Redesign or optimize existing cloud applications Public,  private and hybrid cloud deployments Monitoring and management of cloud applications Request For Proposal View Case Studies in Cloud Computing Mobility Solutions Mobility is the new frontier of computing. Mobile devices truly provide information at your fingertips anytime anywhere. They are revolutionizing how individuals work and interact with others. For businesses mobile applications offer tremendous opportunities for innovative products and new ways to connect with customers,  partners and employees. Given the wide spread use of mobile devices,  the potential for business and commerce is enormous. INTERFACE has expertise in developing a wide variety of innovative mobility solutions for its clients. Challenges How can we design effective mobile policy to monitor and manage company- owned and employee- owned mobile devices and apps on those devices How can we use smartphones for data collection,  collaboration and notification How do we manage the performance of our mobile apps on various mobile devices How can we monitor the customer usage pattern of our mobile apps How can we scale up or scale down mobile devices and mobile apps accessing the enterprise network What strategy should we adopt for testing an app for performance,  network access,  battery consumption,  privacy and security How do we port an existing app on a mobile device to another mobile device under a different OS Our Services Corporate mobility strategy Enterprise wide mobility deployment Mobile security Mobile analytics Mobile application development and testing Application porting across mobile operating systems and devices Monitoring and managing mobile devices and applications Request For Proposal View Case Studies in Mobility Big Data Analytics Big Data is characterized by exponential volume,  large variety and high velocity of data accumulation. More data,  when accurately analyzed,  leads to better decisions. INTERFACE provides customized services to collect,  store,  process and analyze your data. Our interactive tools help you visualize data graphically to help you make quick and smart decisions. Request For Proposal View Case Studies in Big Data Analytics Social Networking Social networking is revolutionizing the way individuals and communities interact and share their opinions and interests online. Social networking offers tremendous opportunities for businesses to interactively connect with its customers. Organizations are using social networks to advocate their products and services,  manage brand image and gather customer feedback. Social networking analytics provides valuable insights which can be used to improve products and services and to carry out effective promotional activities. INTERFACE has expertise in developing and implementing social networking strategy for its clients. Challenges How do we use different social media to reach out to our targeted consumers or users How can our enterprise applications be integrated with social networks to listen to our consumer,  employees and business partners Can we add social networking features on mobile app or existing enterprise application How do we monitor different social media to get actionable customer insights How can we connect with consumers,  customer or businesses on social networks without compromising on data security Our Services Designing corporate social media strategy Integrate with social networks Enable web and mobile apps for social networking functionality Social network analytics Custom social networking site Request For Proposal View Case Studies in Social Networking Healthcare Advances in medical research and information technology have created unprecedented opportunities for new and innovative products and services. These products and services are revolutionizing the Healthcare industry through new and better ways to treat patients,  aid doctors and nurses to perform better and help clinics and hospital to manage better. Since 2006 INTERFACE has built several innovative products for its clients. We have experience in compliance to various standards and with the rigorous and lengthy regulatory approval process. Our expertise Medical imaging Alarms and vitals management Remote Monitoring Integration with existing and new devices Regulatory compliance Technologies Web Technologies Mobile Devices Cloud Computing Device firmware Big Data Analytics Our services New Product development Custom software development Accelerate on- going product development QA and testing Product porting Big Data analytics for healthcare Request For Proposal View Case Studies in Healthcare Clients About Us INTERFACE is a software solutions provider. Our expertise includes Cloud Computing,  Mobility,  Big Data Analytics and Social Networking. We build software products and solutions for our clients in the Healthcare,  IT Software and Marketing industries. INTERFACE started its journey in 2006 with a team of engineers and researchers with an extensive experience in the IT industry. Over the years,  the company has served several organizations with product development to custom software solutions using cutting edge technologies. INTERFACE brings intellectual property (IP),  domain expertise,  thought leadership,  software frameworks and a unique software development paradigm to serve our customers unique business needs. Management Team Narendra Nandekar Chief Executive Officer Narendra is the founder and CEO of INTERFACE. He brings thought leadership with extensive technical and industry experience. Before founding INTERFACE,  Narendra worked with Capgemini,  IBM,  PWC,  American Express and JPMorgan Chase in the USA. He has played a major role in implementing several key projects in these organizations. He holds Bachelor of Engineering from VNIT,  Nagpur and Master of Technology from IIT,  Roorkee in Computer Science. Technologies With expertise in open standards and most major development languages and platforms,  INTERFACE has executed small to large software projects onsite and offsite. INTERFACE has expertise in diverse technologies and continues to test and use emerging technologies. Web Development J2EE,  ASP.Net,  ExtJS,  Flex,  jQuery,  JSF,  Spring,  SEAM,  Hibernate,  SOAP,  Web Services,  XML/ XSLT,  AJAX,  HTML5,  Silverlight Mobile Development Android,  BlackBerry,  iPhone,  iPad,  Java ME,  Windows Mobile,  PhoneGAP,  Sencha Application Development NET (Dot- NET),  C#(C- sharp),  C,  C++,  Visual C++ (VC++) and Java (J2EE). Big Data Analytics Hadoop,  HBase,  mongoDB,  DyanoDB Mahout,  R,  Tableau,  OBIEE Relational Databases Oracle,  MS SQL Server,  mySQL,  PostGRE SQL,  DB2 Web Server /  Application Server BEA WebLogic,  IBM WebSphere,  Apache/ Tomcat,  JBOSS,  IIS Source Control,  Build and Quality Assurance SVN,  Ant,  Maven,  Jenkins,  TestLink,  Bugzilla,  Appium,  Selenium,  JMeter Social Networking Platforms LinkedIn,  Facebook,  Twitter,  Social Graphs,  Wiki,  Tumblr,  Blogosphere,  Pinterest Software Product Engineering We transform innovative ideas into world class products. Our expertise in Cloud computing,  Mobility,  Big Data Analytics and Social media integrations allow us to quickly introduce compelling products to the market for our clients. Product engineering services Product Planning Architecture Design and Prototype Product Development Quality Assurance and Testing Feature enhancements and Release Management Product deployment and Integration Maintenance and Support Quality Assurance and Testing We offer testing services for Cloud,  Web and Mobile environments. We have developed our own tools for testing mobile applications. We also have experience in compliance specific testing and documentation required by the regulators. Our Offerings include We also provide following additional testing for mobile devices Battery Testing Wi- Fi and Carrier Testing Privacy and Security Testing Custom Software Development Many times pre- packaged software products do not meet your needs and you want to develop solutions customized for your specific situation. You need to add new functionality or features to the existing product. Or there is no product in the market that addresses your requirements. INTERFACE would work with you to analyze your needs,  develop an appropriate solution,  and implement and test it. Additionally we can integrate it with your existing enterprise system if needed. Our services Custom Software Development Software Re- engineering and Integration Software Porting/ Migration Support and Maintenance Software Optimization Case Studies Innovative products we built for our clients All Cloud Computing Mobility Big Data Analytics Social Networking Healthcare 1 Mobile Analytics Platform with Customer Segmentation,  Retention Analytics,  In- App Analytics 2 Marketing Project Management System 3 Malware Detection Agent for Android and iPhone 4 Mobile Analytics SDK for Android and iPhone 5 Credit Card Usage Pattern Detection System 6 Survey and Customer Insight Analytics Portal 7 Malware Pattern Detection and Analytics Portal 8 Conext Triggered Ad Delivery for Mobiles 9 Partner Accounting System for Retail Chain 10 Real Estate Data Collection and Data Warehouse System 11 IT and Network Security System 12 School Bus and Student Tracking System 13 Corporate Job Portal with integration to internal HR systems 14 Marketing Automation System 15 Media Management and Storage Portal 16 Location Based Real Estate Search App for Android,  iPhone,  Blackberry 17 3D Modelling of Real- time 2D Images captured from Cardiac Catheter 18 Mobile Based Medical Messaging System 19 Patient Alarm Management System for Mobiles 20 Data Capture and Live Streaming of OBGyn Data to Mobiles 21 Live Streaming of Medical Media for Physicians 22 Collaboration on Medical Live Streams and Archived Studies 23 Cardiac Event Monitoring System 24 Live Streaming of Medical Media for Mobiles 25 Mobile Based DICOM Query/ Retrieve Application 26 Configurable Statistics and Trend Analytics from Exhaustive Healthcare Data 27 Hemodialysis Remote Monitoring System Careers We are always looking for the best talent in the industry. INTERFACE offers a challenging and high- growth environment to motivated self- starters with a proven track record. You will be working with experienced industry professionals with outstanding achievements. Please email your resume indicating desired position to careers@interfaceinfosoft.com Our focus areas Medical Device Connectivity Solutions Healthcare IT Solutions Mobility Solutions Big Data,  BI and Analytics Solutions Mobile application and Security Solutions Cloud computing Services Custom software development Services Current Openings Software Developer -  Java (EXP 2 -  4 yrs) Software Developer -  Ext- JS (EXP 2 -  4 yrs ) Kindly fill- up all the details below Name * Email * Mobile No. * Attach cv *"
